metal,flow_basis,files_seen,rows_seen,source_count,active_month_count,active_hs6_count,primaryValue_total,source_hhi_primaryValue,top1_source_share,top3_source_share,top5_source_share,period_end_included,metal_label
aluminum,reported_import_partner_as_source,102,1390839,246,192,33,4182731844746.764,0.035946470696,0.089749670472,0.220255482258,0.322220455506,202512,Aluminium
copper,reported_import_partner_as_source,102,1390839,246,192,56,3567287512430.4707,0.034799665339,0.094111427204,0.215064851899,0.301052644228,202512,Copper
lead,reported_import_partner_as_source,102,1390839,224,192,8,183681079668.4355,0.039550699539,0.089500373038,0.23983900141,0.354233676415,202512,Lead
nickel,reported_import_partner_as_source,102,1390839,231,192,17,662813002163.3112,0.071260252117,0.13517779581,0.371766320891,0.512603984643,202512,Nickel
tin,reported_import_partner_as_source,102,1390839,211,192,8,146148651522.66855,0.114417716905,0.278241937288,0.461890850362,0.588949751961,202512,Tin
zinc,reported_import_partner_as_source,102,1390839,222,192,9,381741047572.9586,0.046284121794,0.097705140752,0.258726088231,0.377056913776,202512,Zinc
